City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,albertina,-22.2008,-46.6158,58.55,61,0,6.93,BR,1722653463
126,albany,42.6001,-73.9662,72.91,95,99,0.72,US,1722653464
127,afif,23.9065,42.9172,78.87,30,83,16.53,SA,1722653466
128,waycross,31.2136,-82.354,79.05,94,0,4.61,US,1722653467
129,sur,22.5667,59.5289,90.57,54,75,7.67,OM,1722653468
130,buriti dos lopes,-3.175,-41.8669,69.1,91,53,3.49,BR,1722653469
131,grand-popo,6.2804,1.8225,74.84,90,100,9.46,BJ,1722653471
132,aman garh,34.0058,71.93,84.81,52,4,3.69,PK,1722653472
133,labytnangi,66.6572,66.4183,63.95,73,91,21.16,RU,1722653473
134,khandyga,62.6667,135.6,64.02,44,7,3.58,RU,1722653474
135,enewetak,11.3474,162.3373,84.07,76,63,10.51,MH,1722653476
136,sabancuy,18.9667,-91.1833,81.77,84,57,8.28,MX,1722653477
137,hayrabolu,41.2131,27.1069,65.32,80,0,3.33,TR,1722653478
138,lobujya,27.95,86.8167,39.22,85,92,4.23,NP,1722653479
139,ishigaki,24.3448,124.1572,89.73,74,20,5.75,JP,1722653481
140,galliano,29.4422,-90.2992,84.99,78,0,0.0,US,1722653482
141,port blair,11.6667,92.75,84.24,89,75,12.66,IN,1722653483
142,lorengau,-2.0226,147.2712,83.25,78,99,9.93,PG,1722653488
143,policoro,40.2115,16.6726,73.02,50,9,3.22,IT,1722653489
144,argo,37.6333,22.7333,74.79,46,0,4.03,GR,1722653490
145,klyuchi,52.2667,79.1667,77.65,55,98,2.51,RU,1722653492
146,holualoa,19.6228,-155.9522,80.44,73,75,10.36,US,1722653493
147,sabang,5.8933,95.3214,83.23,77,100,12.1,ID,1722653494
148,sena madureira,-9.0656,-68.6569,78.17,59,22,3.38,BR,1722653495
149,prince rupert,54.3161,-130.3201,64.09,76,0,14.97,CA,1722653497
150,camana,-16.6228,-72.7111,58.41,95,6,9.55,PE,1722653498
151,bulungu,-4.55,18.6,76.82,41,36,0.54,CD,1722653499
152,qamdo,31.1667,97.2333,55.8,66,73,5.08,CN,1722653500
153,abu jibeha,11.4562,31.2285,71.82,86,100,4.63,SD,1722653502
154,chonchi,-42.6128,-73.8092,43.81,94,100,6.62,CL,1722653503
155,bundaberg,-24.85,152.35,71.22,60,38,1.99,AU,1722653504
156,papatowai,-46.5619,169.4708,46.74,68,39,3.62,NZ,1722653507
157,sitangkai,4.6628,119.3928,83.37,71,33,6.46,PH,1722653508
158,geraldton,-28.7667,114.6,59.41,63,0,12.66,AU,1722653509
159,korla,41.7597,86.1469,89.73,27,72,5.73,CN,1722653510
160,satsuma,30.8532,-88.0561,88.03,73,0,5.73,US,1722653229
161,okhotsk,59.3833,143.3,62.92,55,0,3.91,RU,1722653513
162,taoudenni,22.6783,-3.9836,97.66,27,31,10.25,ML,1722653514
163,pangody,65.85,74.4859,72.57,54,66,15.01,RU,1722653515
164,punta arenas,-53.15,-70.9167,39.31,81,100,8.05,CL,1722653517
165,ginir,7.1333,40.7,57.42,85,86,7.18,ET,1722653518
166,avarua,-21.2078,-159.775,73.45,53,38,6.91,CK,1722653519
167,lerwick,60.1545,-1.1494,55.4,90,100,16.2,GB,1722653520
168,papao,-17.75,-149.55,78.48,69,0,14.81,PF,1722653522
169,margate,51.3813,1.3862,62.87,86,50,9.78,GB,1722653523
170,sitka,57.0531,-135.33,64.29,63,20,18.41,US,1722653524
171,vorgashor,67.5833,63.95,65.62,57,34,15.68,RU,1722653525
172,muravlenko,63.7898,74.523,69.66,71,74,4.32,RU,1722653527
173,makoua,0.0069,15.6333,75.49,69,62,2.57,CG,1722653528
174,yerofey pavlovich,53.9667,121.9667,70.9,36,100,5.12,RU,1722653529
175,east london,-33.0153,27.9116,56.44,83,0,5.14,ZA,1722653423
176,ust-nera,64.5667,143.2,54.39,50,84,3.87,RU,1722653533
177,odda,60.0691,6.5457,58.77,91,98,3.04,NO,1722653534
178,plouzane,48.3833,-4.6167,64.89,94,100,13.8,FR,1722653535
179,hawaiian paradise park,19.5933,-154.9731,82.72,75,75,13.8,US,1722653537
180,bandarbeyla,9.4942,50.8122,79.77,65,67,28.92,SO,1722653538
181,karbala,32.616,44.0249,88.68,31,0,15.52,IQ,1722653540
182,la ronge,55.1001,-105.2842,66.45,45,40,6.91,CA,1722653542
183,ndago,-4.6,34.35,59.65,60,27,7.87,TZ,1722653543
184,san angelo,31.4638,-100.437,93.42,41,0,5.99,US,1722653544
185,kodinar,20.7903,70.7031,81.34,88,100,19.44,IN,1722653545
186,kismayo,-0.3582,42.5454,75.72,82,97,16.13,SO,1722653547
187,cadale,2.7603,46.3222,76.03,86,100,19.35,SO,1722653549
188,cururupu,-1.8283,-44.8683,71.58,94,33,1.25,BR,1722653550
189,tralee,52.2704,-9.7026,52.21,91,99,5.84,IE,1722653552
190,fort bragg,35.139,-79.006,79.38,90,40,8.05,US,1722653553
191,bagalkot,16.1833,75.7,74.01,87,100,16.2,IN,1722653554
192,tacna,-18.0056,-70.2483,53.8,82,100,3.44,PE,1722653556
193,altamira,-3.2033,-52.2064,77.52,60,79,2.75,BR,1722653572
194,kone,-21.0595,164.8658,71.87,53,1,11.61,NC,1722653573
195,hailar,49.2,119.7,72.12,46,100,9.4,CN,1722653575
196,ancud,-41.8697,-73.8203,47.23,88,100,17.16,CL,1722653576
197,mumford,5.2618,-0.759,74.08,91,100,6.93,GH,1722653577
198,anahuac,27.2333,-100.15,90.91,45,52,18.75,MX,1722653440
199,chhor,25.5167,69.7667,85.89,77,100,11.36,PK,1722653581
200,kavaratti,10.5669,72.642,81.55,77,100,16.17,IN,1722653583
201,crane,31.3974,-102.3501,90.27,32,0,13.69,US,1722653585
202,alzamay,55.5562,98.6644,72.18,67,8,5.08,RU,1722653586
203,howrah,22.5892,88.3103,80.6,94,100,10.36,IN,1722653587
204,rapla,59.0072,24.7928,60.51,98,93,4.29,EE,1722653588
205,altamont,42.2068,-121.7372,85.78,32,40,16.11,US,1722653590
206,tidjikja,18.5564,-11.4271,88.16,42,7,8.72,MR,1722653591
207,zaozersk,69.4005,32.4476,50.41,88,11,8.16,RU,1722653592
208,el bauga,18.262,33.9081,77.52,72,64,9.98,SD,1722653593
209,touros,-5.1989,-35.4608,71.58,94,52,10.98,BR,1722653595
210,bredasdorp,-34.5322,20.0403,42.91,94,0,3.98,ZA,1722653596
211,fort st. john,56.2499,-120.8529,66.09,52,75,6.91,CA,1722653597
212,strezhevoy,60.7333,77.5889,64.9,96,100,9.04,RU,1722653598
213,bac kan,22.1333,105.8333,77.95,97,100,1.39,VN,1722653600
214,lepsy,46.235,78.9456,92.62,18,3,14.09,KZ,1722653601
215,galle,6.0367,80.217,82.92,87,92,1.01,LK,1722653602
216,tamandare,-8.7597,-35.1047,73.76,83,38,7.67,BR,1722653603
217,puerto leguizamo,-0.1934,-74.7819,73.99,79,46,0.45,CO,1722653604
218,gananoque,44.3334,-76.1661,77.0,86,93,4.72,CA,1722653606
219,kapa'a,22.0752,-159.319,82.72,71,0,10.36,US,1722653607
220,abeche,13.8292,20.8324,77.34,76,100,4.94,TD,1722653608
221,anadyr,64.75,177.4833,48.7,93,100,13.42,RU,1722653610
222,nova sintra,14.8667,-24.7167,77.36,77,100,13.51,CV,1722653611
223,aykol,38.1751,77.2132,85.35,29,100,1.07,CN,1722653612
224,ribeira brava,32.65,-17.0667,74.71,67,0,5.1,PT,1722653613
225,sault ste. marie,46.5168,-84.3333,70.36,85,0,9.22,CA,1722653614
226,christchurch,-43.5333,172.6333,50.92,51,1,3.44,NZ,1722653616
227,mbandaka,0.0487,18.2603,72.63,70,29,2.08,CD,1722653617
228,olinda,-8.0089,-34.8553,78.53,73,40,14.97,BR,1722653618
229,trondheim,63.4305,10.3951,55.49,94,12,3.18,NO,1722653620
230,erenhot,43.6475,111.9767,78.17,50,100,19.44,CN,1722653621
231,tazacorte,28.629,-17.9293,70.77,83,0,16.11,ES,1722653622
232,saint-philippe,-21.3585,55.7679,63.99,83,73,8.23,RE,1722653623
233,saipan,15.1355,145.701,88.5,74,75,19.57,MP,1722653625
